 15  128  32 1.5860000000
 15  256  32 11.0900000000
 15  64  32 .3230000000
 30  128  32 1.0720000000
 30  256  32 6.2590000000
 30  512  32 56.4916666666
 75  128  32 .4590000000
 75  256  32 2.6640000000
 75  512  32 22.6380000000
 135  1024  32 116.6900000000
 135  256  32 1.7250000000
 135  512  32 12.1780000000
 270  1024  32 52.2620000000
 270  256  32 .9400000000
 270  512  32 6.4690000000
 525  1024  32 26.0670000000
 525  256  32 .5640000000
 525  512  32 3.5360000000
 1035  1024  32 13.8450000000
 1035  512  32 1.8730000000
 2055  1024  32 7.2430000000
 2055  512  32 1.0560000000
 4110  1024  32 4.0480000000
 4110  512  32 .6290000000
 8205  1024  32 2.5030000000
 8205  2048  32 20.4780000000
 16395  1024  32 1.2780000000
 16395  2048  32 9.3233333333
 32775  1024  32 .8230000000
 32775  2048  32 4.7330000000
 65550  2048  32 3.4880000000
 131085  2048  32 2.7580000000
